Comment,S25 D25 X4(2) 50% cover_341
Site, X, Y, Vertex
X0,4.6,7.0,0
X1,5.8,3.8,1
X2,1.8,8.0,2
X3,7.8,4.3,3
Supplier, X, Y, Vertex
S0,4.5,8.8,4
S1,0.5,6.5,5
S2,2.2,8.6,6
S3,1.1,8.9,7
S4,2.3,6.4,8
S5,1.1,8.6,9
S6,1.7,9.95,10
S7,2.5,7.7,11
S8,5.9,4.6,12
S9,5.3,6.5,13
S10,4.0,8.2,14
S11,5.9,2.9,15
S12,6.4,4.0,16
S13,5.2,8.4,17
S14,2.4,7.5,18
S15,5.8,3.4,19
S16,1.0,8.6,20
S17,4.4,5.5,21
S18,4.3,6.6,22
S19,5.8,4.9,23
S20,5.7,6.5,24
S21,4.7,5.7,25
S22,6.2,4.0,26
S23,2.9,7.1,27
S24,6.6,4.2,28
Destination, X, Y, Vertex
D0,4.3,7.2,29
D1,7.5,4.1,30
D2,8.6,5.2,31
D3,8.2,3.5,32
D4,7.4,5.4,33
D5,5.8,4.6,34
D6,4.5,6.9,35
D7,7.3,3.8,36
D8,4.6,6.7,37
D9,6.9,4.5,38
D10,4.9,4.7,39
D11,5.7,4.7,40
D12,7.9,4.2,41
D13,4.7,7.0,42
D14,3.4,6.1,43
D15,7.5,4.2,44
D16,9.0,2.6,45
D17,5.1,7.7,46
D18,5.8,3.0,47
D19,6.1,4.2,48
D20,4.5,3.0,49
D21,4.9,2.6,50
D22,8.7,3.6,51
D23,6.1,2.4,52
D24,6.6,5.8,53
Order, To, Qty, ect, ldt,
S9,D8,3,0,900,56
S14,D4,3,0,900,57
S12,D15,2,0,900,58
S17,D11,1,0,900,59
S7,D14,3,0,900,60
S18,X3,1,0,900,61
S16,D21,3,0,900,62
S8,D20,3,0,900,63
S22,D13,2,0,900,64
S23,X2,3,0,900,65
S8,D3,2,0,900,66
S24,D23,3,0,900,67
S14,D20,2,0,900,68
S12,D16,1,0,900,69
S15,D6,2,0,900,70
S1,D2,2,0,900,71
S4,D20,1,0,900,72
S5,D6,1,0,900,73
S19,D3,3,0,900,74
S23,D19,2,0,900,75
S14,D0,3,0,900,76
S10,D0,3,0,900,77
S15,D3,2,0,900,78
S13,D17,1,0,900,79
S24,D17,3,0,900,80
S2,D22,1,0,900,81
S5,D12,1,0,900,82
S19,D11,2,0,900,83
S17,D23,3,0,900,84
S23,D18,1,0,900,85
S11,D5,2,0,900,86
S24,X2,2,0,900,87
S12,D1,2,0,900,88
S4,D9,1,0,900,89
S21,D21,1,0,900,90
S22,D23,3,0,900,91
S18,D6,1,0,900,92
S23,D1,2,0,900,93
S22,D10,2,0,900,94
S9,D17,3,0,900,95
S10,D11,3,0,900,96
S11,D16,3,0,900,97
S0,D5,1,0,900,98
S24,D12,1,0,900,99
S14,D22,2,0,900,100
S1,D14,2,0,900,101
S3,D8,1,0,900,102
S1,D16,1,0,900,103
S5,D17,3,0,900,104
S6,X2,1,0,900,105
S17,D7,2,0,900,106
S7,D12,2,0,900,107
S20,D16,3,0,900,108
S9,D2,2,0,900,109
S23,D22,2,0,900,110
S8,D1,3,0,900,111
S11,D11,3,0,900,112
S9,D23,1,0,900,113
S14,D24,3,0,900,114
S12,D17,2,0,900,115
S10,D3,3,0,900,116
S15,D10,1,0,900,117
S13,D10,3,0,900,118
S0,D13,3,0,900,119
S1,D11,2,0,900,120
S4,X3,2,0,900,121
S3,D5,3,0,900,122
S6,D13,1,0,900,123
S4,D1,3,0,900,124
S19,D1,1,0,900,125
S20,D0,2,0,900,126
S16,D0,2,0,900,127
S15,D1,2,0,900,128
S0,D18,1,0,900,129
S24,D8,2,0,900,130
S12,D18,2,0,900,131
S2,D11,1,0,900,132
S3,D9,3,0,900,133
S7,D19,1,0,900,134
S5,D14,1,0,900,135
S20,D21,3,0,900,136
S16,X3,2,0,900,137
S19,D22,3,0,900,138
S17,D5,1,0,900,139
S22,D12,2,0,900,140
S20,D8,2,0,900,141
S18,D12,1,0,900,142
S21,D4,2,0,900,143
S8,D17,3,0,900,144
S10,D8,1,0,900,145
S11,D23,2,0,900,146
S12,D14,1,0,900,147
S13,D5,1,0,900,148
S2,D9,3,0,900,149
S4,D17,1,0,900,150
S5,D18,1,0,900,151
S16,D6,3,0,900,152
S19,D16,2,0,900,153
S17,D20,2,0,900,154
S7,D23,3,0,900,155
S22,D5,2,0,900,156
S20,D2,2,0,900,157
S18,D2,3,0,900,158
S8,X2,2,0,900,159
S22,D6,3,0,900,160
S9,D16,2,0,900,161
S10,D7,3,0,900,162
S8,D0,3,0,900,163
S11,D24,3,0,900,164
S0,D23,1,0,900,165
S15,D13,3,0,900,166
S13,D20,2,0,900,167
S0,D2,1,0,900,168
S3,X3,3,0,900,169
S1,X3,2,0,900,170
S4,D11,1,0,900,171
S5,D13,1,0,900,172
S6,D10,3,0,900,173
S17,D4,1,0,900,174
S7,D24,2,0,900,175
S21,D10,1,0,900,176
S22,D8,2,0,900,177
S23,D4,2,0,900,178
S10,X3,1,0,900,179
S8,D21,3,0,900,180
S11,D22,1,0,900,181
S14,D12,2,0,900,182
S12,D8,2,0,900,183
S10,D12,3,0,900,184
S15,X2,2,0,900,185
S24,D7,2,0,900,186
S1,D7,3,0,900,187
S4,D16,2,0,900,188
S4,D14,2,0,900,189
S5,D5,3,0,900,190
S22,D18,3,0,900,191
S18,D18,2,0,900,192
S13,D19,1,0,900,193
S1,D9,1,0,900,194
S20,D9,1,0,900,195
S19,D4,2,0,900,196
S17,X2,2,0,900,197
S22,D14,1,0,900,198
S20,D19,3,0,900,199
S23,D5,3,0,900,200
S10,D17,3,0,900,201
S15,D18,1,0,900,202
S11,D10,3,0,900,203
S24,D6,1,0,900,204
S14,D8,1,0,900,205
S12,D12,3,0,900,206
S1,D15,3,0,900,207
S15,D4,2,0,900,208
S2,D21,2,0,900,209
S0,X3,3,0,900,210
S3,D22,2,0,900,211
S5,D4,2,0,900,212
S16,D7,1,0,900,213
S6,D3,2,0,900,214
S19,D24,2,0,900,215
S7,D0,3,0,900,216
S21,D20,2,0,900,217
S8,D2,3,0,900,218
S22,D2,2,0,900,219
S9,X3,1,0,900,220
S23,X3,3,0,900,221
S11,D20,1,0,900,222
S14,D10,3,0,900,223
S15,D24,3,0,900,224
S13,D24,2,0,900,225
S2,D15,3,0,900,226
S0,D6,1,0,900,227
S3,D16,3,0,900,228
S1,D20,2,0,900,229
S4,D2,1,0,900,230
S2,D2,3,0,900,231
S5,D19,1,0,900,232
S3,D14,1,0,900,233
S6,D6,3,0,900,234
S19,D5,1,0,900,235
S7,D20,3,0,900,236
S20,D1,2,0,900,237
S18,D13,2,0,900,238
S8,D9,3,0,900,239
S11,D4,1,0,900,240
S13,D22,1,0,900,241
S0,D8,1,0,900,242
S24,D11,2,0,900,243
S1,D4,3,0,900,244
S5,D10,2,0,900,245
S7,D4,1,0,900,246
S6,D21,3,0,900,247
S21,D14,1,0,900,248
S19,D19,1,0,900,249
S17,D14,2,0,900,250
S18,D23,1,0,900,251
S24,D16,2,0,900,252
S6,D15,1,0,900,253
S21,D18,3,0,900,254
S22,D1,2,0,900,255
S23,D23,2,0,900,256
S21,D11,1,0,900,257
S8,X3,2,0,900,258
S14,D17,1,0,900,259
S15,D7,2,0,900,260
S0,D16,1,0,900,261
S3,D4,3,0,900,262
S1,X2,3,0,900,263
S4,D19,1,0,900,264
S5,D22,1,0,900,265
S16,D11,2,0,900,266
S17,D13,1,0,900,267
S7,D15,3,0,900,268
S16,D18,3,0,900,269
S9,D20,2,0,900,270
S23,D16,1,0,900,271
S24,D21,1,0,900,272
S12,X2,2,0,900,273
S3,D24,3,0,900,274
S2,X2,1,0,900,275
S7,X3,2,0,900,276
S23,D11,2,0,900,277
S9,D18,2,0,900,278
S14,D1,2,0,900,279
S0,D21,2,0,900,280
S24,D22,2,0,900,281
S12,D21,3,0,900,282
S2,D13,3,0,900,283
S6,D17,3,0,900,284
S5,D0,1,0,900,285
S16,D23,1,0,900,286
S19,D13,2,0,900,287
S20,D22,1,0,900,288
S18,D5,2,0,900,289
S23,D21,1,0,900,290
S8,D11,2,0,900,291
S14,D18,2,0,900,292
S12,D23,1,0,900,293
S13,D1,3,0,900,294
S3,D19,3,0,900,295
S5,D9,2,0,900,296
S16,D20,3,0,900,297
S6,D0,2,0,900,298
S19,X2,1,0,900,299
S7,D3,2,0,900,300
S20,D24,2,0,900,301
S23,D0,1,0,900,302
S21,D7,2,0,900,303
S9,X2,2,0,900,304
S10,D19,2,0,900,305
S8,D14,3,0,900,306
S0,D1,1,0,900,307
S24,D15,3,0,900,308
S15,D11,2,0,900,309
S0,D24,3,0,900,310
S3,D10,3,0,900,311
S1,D10,2,0,900,312
S2,D20,1,0,900,313
S16,D22,2,0,900,314
S6,X3,2,0,900,315
S20,X2,1,0,900,316
S18,D4,1,0,900,317
S21,D16,1,0,900,318
S17,D9,3,0,900,319
S22,D7,3,0,900,320
S9,D24,2,0,900,321
S23,D17,1,0,900,322
S10,X2,2,0,900,323
S10,D5,2,0,900,324
S15,X3,1,0,900,325
S11,D21,1,0,900,326
S1,D13,3,0,900,327
S3,D3,3,0,900,328
S19,D18,2,0,900,329
S7,D16,1,0,900,330
S20,D12,2,0,900,331
S16,D12,2,0,900,332
S21,D15,1,0,900,333
S17,D15,2,0,900,334
S18,D21,2,0,900,335
S13,D7,2,0,900,336
S11,D0,3,0,900,337
S0,D9,2,0,900,338
S12,D9,3,0,900,339
S2,D19,3,0,900,340
Exit,
