Comment,S200 D80 X20(10)_1500
Site, X, Y, Vertex
S129,33.0,11.4,149
S130,35.0,8.1,150
S131,29.9,15.9,151
S132,29.5,3.7,152
S133,5.9,32.3,153
S134,20.4,23.8,154
S135,26.8,11.0,155
S136,40.3,43.2,156
S137,22.5,45.3,157
S138,37.0,15.2,158
S139,21.5,18.3,159
S140,11.1,26.8,160
S141,36.7,19.7,161
S142,21.8,46.2,162
S143,3.8,34.9,163
S144,45.9,20.2,164
S145,30.9,23.2,165
S146,14.9,14.5,166
S147,23.9,47.3,167
S148,29.1,16.3,168
S149,18.1,6.0,169
S150,11.2,10.0,170
S151,36.3,13.7,171
S152,42.9,49.95,172
S153,30.2,20.2,173
S154,9.7,17.7,174
S155,24.0,2.0,175
S156,27.3,23.3,176
S157,28.8,3.0,177
S158,11.7,20.6,178
S159,46.1,26.0,179
S160,9.4,19.5,180
S161,45.6,34.9,181
S162,18.4,18.6,182
S163,40.3,49.95,183
S164,32.3,25.3,184
S165,44.1,13.6,185
S166,28.6,16.9,186
S167,5.2,15.5,187
S168,8.7,14.2,188
S169,49.95,21.1,189
S170,8.0,19.7,190
S171,3.4,11.0,191
S172,35.1,31.6,192
S173,20.5,43.0,193
S174,30.6,14.7,194
S175,26.4,25.6,195
S176,37.5,16.7,196
S177,35.2,12.5,197
S178,25.5,8.8,198
S179,33.9,27.0,199
S180,36.1,46.5,200
S181,39.2,17.0,201
S182,31.2,31.7,202
S183,19.3,36.9,203
S184,4.0,32.5,204
S185,35.9,22.1,205
S186,32.3,7.9,206
S187,30.0,27.4,207
S188,47.5,44.1,208
S189,15.1,13.9,209
S190,33.3,22.1,210
S191,23.0,49.95,211
S192,27.2,40.4,212
S193,18.9,22.3,213
S194,11.6,29.3,214
S195,7.7,6.7,215
S196,32.1,8.0,216
S197,37.4,2.2,217
S198,12.6,28.6,218
S199,45.4,40.4,219
Destination, X, Y, Vertex
D0,34.0,18.7,220
D1,9.0,38.3,221
D2,30.6,17.4,222
D3,34.6,15.0,223
D4,4.6,16.7,224
D5,31.1,8.7,225
D6,11.0,39.2,226
D7,4.1,42.8,227
D8,26.3,30.0,228
D9,19.3,31.9,229
D10,8.7,39.1,230
D11,22.6,31.2,231
D12,36.1,32.0,232
D13,21.2,37.6,233
D14,11.1,24.9,234
D15,12.3,17.5,235
D16,17.7,41.2,236
D17,22.0,32.1,237
D18,16.2,15.2,238
D19,27.7,31.4,239
D20,28.6,39.5,240
D21,25.0,35.0,241
D22,19.7,38.3,242
D23,36.6,22.7,243
D24,20.2,12.5,244
D25,28.1,27.6,245
D26,10.1,20.0,246
D27,26.0,33.6,247
D28,13.6,21.6,248
D29,13.4,13.3,249
D30,20.5,9.0,250
D31,22.7,43.4,251
D32,36.7,27.0,252
D33,21.8,40.8,253
D34,23.2,30.6,254
D35,10.6,26.1,255
D36,7.8,18.4,256
D37,14.4,22.3,257
D38,11.8,16.9,258
D39,12.1,34.9,259
D40,31.4,21.9,260
D41,24.4,30.7,261
D42,15.1,25.0,262
D43,18.7,34.1,263
D44,26.5,39.0,264
D45,31.5,32.1,265
D46,22.4,31.5,266
D47,27.0,14.9,267
D48,12.5,40.1,268
D49,22.3,23.5,269
D50,24.1,16.8,270
D51,24.7,28.4,271
D52,14.6,12.0,272
D53,29.2,34.5,273
D54,15.5,18.7,274
D55,28.2,3.6,275
D56,20.5,37.2,276
D57,26.3,9.0,277
D58,11.0,26.3,278
D59,28.8,37.4,279
D60,30.6,33.2,280
D61,18.3,39.4,281
D62,20.4,33.1,282
D63,28.9,21.9,283
D64,33.8,17.5,284
D65,22.2,37.3,285
D66,24.5,34.2,286
D67,24.0,42.5,287
D68,13.2,21.3,288
D69,15.8,38.2,289
D70,9.6,38.4,290
D71,18.3,35.4,291
D72,21.0,17.1,292
D73,20.5,35.1,293
D74,28.2,32.7,294
D75,15.4,15.6,295
D76,10.2,34.8,296
D77,14.7,18.7,297
D78,25.2,30.0,298
D79,13.6,41.7,299
Order, To, Qty, ect, ldt,
S139,D39,3,0,900,0
S129,D74,2,0,900,1
S114,D66,1,0,900,2
S174,D11,3,0,900,3
S68,X9,3,0,900,4
S125,D23,2,0,900,5
S73,X1,1,0,900,6
S80,D41,3,0,900,7
S189,D73,3,0,900,8
S20,D29,3,0,900,9
S177,D12,2,0,900,10
S3,D15,1,0,900,11
S8,D47,2,0,900,12
S82,D9,1,0,900,13
S191,D77,1,0,900,14
S14,D12,1,0,900,15
S129,D42,2,0,900,16
S4,D55,1,0,900,17
S78,X7,1,0,900,18
S8,D21,3,0,900,19
S7,D68,1,0,900,20
S65,D31,2,0,900,21
S1,D22,1,0,900,22
S93,D56,1,0,900,23
S22,D41,2,0,900,24
S115,X12,1,0,900,25
S145,D41,3,0,900,26
S119,D75,3,0,900,27
S177,D51,2,0,900,28
S13,D40,3,0,900,29
S160,D74,2,0,900,30
S87,D46,2,0,900,31
S198,D31,3,0,900,32
S185,X14,2,0,900,33
S139,X6,3,0,900,34
S196,D76,1,0,900,35
S124,D40,3,0,900,36
S142,D16,2,0,900,37
S167,X4,2,0,900,38
S11,D33,3,0,900,39
S175,D20,1,0,900,40
S143,D27,2,0,900,41
S36,D35,3,0,900,42
S2,D7,1,0,900,43
S26,D37,2,0,900,44
S105,X14,1,0,900,45
S180,D24,3,0,900,46
S145,D66,3,0,900,47
S76,D10,2,0,900,48
S119,D13,2,0,900,49
S106,D43,1,0,900,50
S109,D28,1,0,900,51
S8,D45,3,0,900,52
S196,D50,1,0,900,53
S70,D33,3,0,900,54
S164,D66,1,0,900,55
S143,D77,3,0,900,56
S27,D11,1,0,900,57
S83,D32,3,0,900,58
S158,X4,2,0,900,59
S98,D38,1,0,900,60
S151,D58,2,0,900,61
S84,D66,1,0,900,62
S31,D0,2,0,900,63
S106,D68,2,0,900,64
S38,D16,1,0,900,65
S116,D20,1,0,900,66
S33,D69,3,0,900,67
S199,D5,2,0,900,68
S176,D1,1,0,900,69
S12,D33,3,0,900,70
S16,D31,3,0,900,71
S54,D60,1,0,900,72
S37,D35,2,0,900,73
S44,X14,1,0,900,74
S27,D51,2,0,900,75
S83,D25,3,0,900,76
S6,D10,3,0,900,77
S106,D70,1,0,900,78
S185,X9,1,0,900,79
S157,D20,2,0,900,80
S181,D12,1,0,900,81
S100,D42,2,0,900,82
S104,D6,1,0,900,83
S179,D78,1,0,900,84
S144,D47,2,0,900,85
S47,D39,1,0,900,86
S122,D75,3,0,900,87
S180,D34,3,0,900,88
S195,D56,3,0,900,89
S74,D36,1,0,900,90
S102,D72,3,0,900,91
S186,X4,2,0,900,92
S26,D79,1,0,900,93
S184,D0,1,0,900,94
S118,D3,2,0,900,95
S9,X7,3,0,900,96
S88,D21,3,0,900,97
S128,X12,3,0,900,98
S32,D56,1,0,900,99
S92,X1,1,0,900,100
S188,D57,2,0,900,101
S139,D55,3,0,900,102
S21,D29,2,0,900,103
S90,D78,2,0,900,104
S143,D3,2,0,900,105
S112,D2,2,0,900,106
S169,D20,1,0,900,107
S83,D60,3,0,900,108
S177,X4,2,0,900,109
S86,D61,3,0,900,110
S148,X3,1,0,900,111
S120,D77,2,0,900,112
S173,D47,1,0,900,113
S70,D32,2,0,900,114
S35,D46,1,0,900,115
S18,X7,2,0,900,116
S132,D34,2,0,900,117
S171,D65,2,0,900,118
S161,D19,2,0,900,119
S127,D27,2,0,900,120
S58,D23,1,0,900,121
S104,D29,3,0,900,122
S54,D2,3,0,900,123
S5,D78,1,0,900,124
S62,D69,1,0,900,125
S27,D62,2,0,900,126
S55,D79,2,0,900,127
S94,X6,3,0,900,128
S136,D0,1,0,900,129
S32,X14,3,0,900,130
S142,X11,1,0,900,131
S35,D77,3,0,900,132
S132,D36,1,0,900,133
S136,D72,3,0,900,134
S65,D9,3,0,900,135
S121,D54,2,0,900,136
S193,D76,1,0,900,137
S85,D53,1,0,900,138
S89,D69,3,0,900,139
S161,D18,3,0,900,140
S1,D39,1,0,900,141
S169,D50,1,0,900,142
S46,X11,2,0,900,143
S69,D6,3,0,900,144
S197,D36,2,0,900,145
S54,X19,3,0,900,146
S2,X3,1,0,900,147
S47,D30,2,0,900,148
S195,D47,3,0,900,149
S108,D51,2,0,900,150
S111,D29,2,0,900,151
S131,D16,3,0,900,152
S59,X3,3,0,900,153
S38,X12,1,0,900,154
S4,D75,2,0,900,155
S85,D56,3,0,900,156
S124,D76,1,0,900,157
S107,D3,3,0,900,158
S130,D9,2,0,900,159
S44,D71,3,0,900,160
S187,D41,1,0,900,161
S34,D9,2,0,900,162
S57,D41,2,0,900,163
S139,X11,1,0,900,164
S124,D67,2,0,900,165
S75,X12,1,0,900,166
S122,D68,3,0,900,167
S93,D9,1,0,900,168
S76,D14,3,0,900,169
S133,D11,3,0,900,170
S88,D16,2,0,900,171
S52,D44,1,0,900,172
S42,D40,1,0,900,173
S64,D63,1,0,900,174
S186,D51,2,0,900,175
S117,D77,1,0,900,176
S104,D17,2,0,900,177
S44,D79,1,0,900,178
S86,D31,3,0,900,179
S19,D14,3,0,900,180
S187,D74,2,0,900,181
S6,D68,2,0,900,182
S191,D5,3,0,900,183
S160,D47,3,0,900,184
S13,D7,3,0,900,185
S75,D69,3,0,900,186
S43,X19,1,0,900,187
S110,D59,2,0,900,188
S164,D20,1,0,900,189
S58,D1,3,0,900,190
S169,D17,1,0,900,191
S103,D10,2,0,900,192
S158,D34,2,0,900,193
S51,D32,3,0,900,194
S41,D6,3,0,900,195
S81,D79,1,0,900,196
S101,D30,1,0,900,197
S177,D22,2,0,900,198
S158,D45,2,0,900,199
S23,D77,1,0,900,200
S191,D1,3,0,900,201
S161,D35,2,0,900,202
S142,D63,1,0,900,203
S146,D73,2,0,900,204
S57,X12,3,0,900,205
S38,D20,3,0,900,206
S4,D44,1,0,900,207
S16,D63,1,0,900,208
S54,D20,3,0,900,209
S97,D64,3,0,900,210
S78,D45,3,0,900,211
S118,D18,1,0,900,212
S69,D77,1,0,900,213
S15,D31,3,0,900,214
S141,D18,3,0,900,215
S132,D31,2,0,900,216
S48,D35,2,0,900,217
S155,D19,3,0,900,218
S184,D8,3,0,900,219
S113,X1,3,0,900,220
S27,D59,1,0,900,221
S20,D50,3,0,900,222
S139,D42,2,0,900,223
S32,D44,1,0,900,224
S142,D50,3,0,900,225
S199,D76,1,0,900,226
S167,D41,3,0,900,227
S93,X6,3,0,900,228
S115,D36,1,0,900,229
S133,D54,3,0,900,230
S190,D51,1,0,900,231
S108,D4,2,0,900,232
S42,D22,3,0,900,233
S49,D64,2,0,900,234
S168,D69,3,0,900,235
S60,X1,2,0,900,236
S171,X3,3,0,900,237
S193,D67,2,0,900,238
S178,D25,3,0,900,239
S57,D34,3,0,900,240
S40,D5,3,0,900,241
S48,D10,3,0,900,242
S29,D72,1,0,900,243
S179,D14,2,0,900,244
S110,X3,2,0,900,245
S93,D1,2,0,900,246
S1,D23,3,0,900,247
S147,D52,2,0,900,248
S150,D38,2,0,900,249
S37,D76,3,0,900,250
S24,D68,3,0,900,251
S173,D4,2,0,900,252
S177,D45,2,0,900,253
S198,D56,1,0,900,254
S74,D46,1,0,900,255
S99,D5,2,0,900,256
S28,D15,3,0,900,257
S127,X4,2,0,900,258
S149,D23,2,0,900,259
S117,X9,3,0,900,260
S7,X6,1,0,900,261
S196,D45,1,0,900,262
S90,D49,2,0,900,263
S122,D61,1,0,900,264
S184,D52,2,0,900,265
S81,D32,1,0,900,266
S141,D35,2,0,900,267
S63,D59,1,0,900,268
S28,X9,2,0,900,269
S139,X14,1,0,900,270
S184,D11,1,0,900,271
S152,D27,3,0,900,272
S9,D34,1,0,900,273
S88,X1,3,0,900,274
S91,D43,2,0,900,275
S153,D12,3,0,900,276
S67,D51,1,0,900,277
S8,D12,3,0,900,278
S2,D75,1,0,900,279
S47,D46,3,0,900,280
S88,D22,2,0,900,281
S183,D65,2,0,900,282
S84,D40,2,0,900,283
S13,D44,3,0,900,284
S163,D24,3,0,900,285
S171,D54,3,0,900,286
S135,D77,2,0,900,287
S167,D52,2,0,900,288
S95,D11,3,0,900,289
S147,D45,1,0,900,290
S86,D37,3,0,900,291
S34,D72,1,0,900,292
S128,D36,1,0,900,293
S148,D18,2,0,900,294
S23,D46,1,0,900,295
S62,D55,2,0,900,296
S123,D77,3,0,900,297
S117,D67,1,0,900,298
S63,D4,1,0,900,299
S139,D24,1,0,900,300
S72,D17,3,0,900,301
S144,D57,3,0,900,302
S76,D32,1,0,900,303
S22,D58,1,0,900,304
S115,D31,1,0,900,305
S23,X4,2,0,900,306
S151,D10,2,0,900,307
S119,D53,2,0,900,308
S166,D69,3,0,900,309
S188,X3,2,0,900,310
S39,D39,2,0,900,311
S172,D27,3,0,900,312
S112,D66,3,0,900,313
S83,D26,3,0,900,314
S66,D65,1,0,900,315
S30,D19,1,0,900,316
S55,D36,3,0,900,317
S42,D68,1,0,900,318
S135,D5,1,0,900,319
S174,D53,1,0,900,320
S104,D49,3,0,900,321
S124,D58,1,0,900,322
S22,D20,1,0,900,323
S133,D0,1,0,900,324
S27,D25,2,0,900,325
S15,D73,3,0,900,326
S42,D70,1,0,900,327
S24,D61,1,0,900,328
S192,D42,3,0,900,329
S67,D19,3,0,900,330
S31,X3,1,0,900,331
S87,D30,3,0,900,332
S159,D41,1,0,900,333
S57,D65,2,0,900,334
S96,D72,3,0,900,335
S99,D73,3,0,900,336
S50,D58,2,0,900,337
S72,D40,1,0,900,338
S97,D78,2,0,900,339
S44,D75,2,0,900,340
S100,D57,1,0,900,341
S68,D22,3,0,900,342
S69,D0,3,0,900,343
S54,D32,2,0,900,344
S24,D10,3,0,900,345
S156,D4,3,0,900,346
S127,D37,2,0,900,347
S92,D60,1,0,900,348
S161,D72,2,0,900,349
S164,D47,3,0,900,350
S100,D79,3,0,900,351
S105,D67,2,0,900,352
S165,D57,2,0,900,353
S187,D53,2,0,900,354
S170,D12,2,0,900,355
S91,D5,3,0,900,356
S31,X12,3,0,900,357
S161,D67,1,0,900,358
S95,D74,3,0,900,359
S53,D61,2,0,900,360
S150,X9,2,0,900,361
S154,D48,3,0,900,362
S137,D30,3,0,900,363
S48,D2,2,0,900,364
S51,D70,3,0,900,365
S162,D8,1,0,900,366
S79,D28,1,0,900,367
S173,D52,2,0,900,368
S126,D78,1,0,900,369
S84,D14,2,0,900,370
S185,X11,2,0,900,371
S21,X14,1,0,900,372
S149,X3,1,0,900,373
S165,D73,2,0,900,374
S169,D68,2,0,900,375
S122,D5,3,0,900,376
S125,D55,3,0,900,377
S145,D24,2,0,900,378
S73,D66,3,0,900,379
S37,D3,1,0,900,380
S170,D79,3,0,900,381
S52,D79,3,0,900,382
S128,D28,1,0,900,383
S183,D71,3,0,900,384
S3,D13,2,0,900,385
S181,D42,2,0,900,386
S21,D53,3,0,900,387
S11,D52,1,0,900,388
S110,D74,1,0,900,389
S122,X9,1,0,900,390
S12,D56,3,0,900,391
S194,X3,3,0,900,392
S69,D71,1,0,900,393
S125,D50,2,0,900,394
S15,D40,2,0,900,395
S41,D0,3,0,900,396
S24,D26,3,0,900,397
S170,D21,1,0,900,398
S81,D14,2,0,900,399
S119,D71,3,0,900,400
S158,D37,3,0,900,401
S183,D51,3,0,900,402
S82,D47,1,0,900,403
S149,D20,3,0,900,404
S65,D21,3,0,900,405
S11,X7,1,0,900,406
S165,D20,1,0,900,407
S130,X12,3,0,900,408
S186,D60,3,0,900,409
S103,D51,3,0,900,410
S197,D40,1,0,900,411
S73,D44,3,0,900,412
S138,D38,3,0,900,413
S195,D26,1,0,900,414
S141,D19,1,0,900,415
S126,D41,2,0,900,416
S55,D39,1,0,900,417
S153,D17,2,0,900,418
S139,D54,3,0,900,419
S31,D78,1,0,900,420
S92,D78,1,0,900,421
S167,D68,1,0,900,422
S157,D32,3,0,900,423
S124,D73,2,0,900,424
S165,D67,2,0,900,425
S150,D25,1,0,900,426
S187,D58,1,0,900,427
S49,D1,2,0,900,428
S123,D17,1,0,900,429
S113,D62,1,0,900,430
S131,X1,2,0,900,431
S7,D78,2,0,900,432
S176,D54,1,0,900,433
S155,D55,1,0,900,434
S12,D76,1,0,900,435
S162,D77,3,0,900,436
S170,D42,2,0,900,437
S49,D60,3,0,900,438
S178,D75,3,0,900,439
S198,D68,3,0,900,440
S28,D2,3,0,900,441
S89,D28,1,0,900,442
S14,D75,2,0,900,443
S107,D33,3,0,900,444
S127,D66,3,0,900,445
S46,D59,2,0,900,446
S16,D17,1,0,900,447
S73,D22,2,0,900,448
S61,D49,1,0,900,449
S26,D11,3,0,900,450
S9,D53,2,0,900,451
S155,D60,2,0,900,452
S162,D37,1,0,900,453
S76,D73,1,0,900,454
S59,D31,3,0,900,455
S152,D67,2,0,900,456
S81,D74,1,0,900,457
S109,D3,1,0,900,458
S171,D52,1,0,900,459
S50,D39,3,0,900,460
S107,D11,3,0,900,461
S70,D47,3,0,900,462
S154,D28,1,0,900,463
S175,D12,3,0,900,464
S68,D16,2,0,900,465
S16,X19,2,0,900,466
S197,D35,3,0,900,467
S182,D70,3,0,900,468
S22,D66,3,0,900,469
S83,X9,1,0,900,470
S175,D63,3,0,900,471
S94,D21,2,0,900,472
S148,D39,3,0,900,473
S42,D33,3,0,900,474
S45,D24,1,0,900,475
S119,D27,2,0,900,476
S30,D48,2,0,900,477
S178,D45,1,0,900,478
S159,D25,3,0,900,479
S96,D31,3,0,900,480
S171,X7,1,0,900,481
S7,X14,2,0,900,482
S172,D61,3,0,900,483
S176,D15,3,0,900,484
S19,X4,3,0,900,485
S118,D4,3,0,900,486
S183,D31,2,0,900,487
S84,D1,3,0,900,488
S102,D22,3,0,900,489
S13,D49,1,0,900,490
S159,D62,2,0,900,491
S96,D15,3,0,900,492
S25,D46,3,0,900,493
S78,D65,2,0,900,494
S172,D14,2,0,900,495
S46,X7,2,0,900,496
S111,D13,3,0,900,497
S187,D45,2,0,900,498
S153,D0,3,0,900,499
S45,X19,1,0,900,500
S123,D49,2,0,900,501
S91,D48,1,0,900,502
S149,D65,2,0,900,503
S100,D54,1,0,900,504
S176,D57,3,0,900,505
S103,D4,3,0,900,506
S79,D19,1,0,900,507
S180,D2,1,0,900,508
S148,D24,3,0,900,509
S67,D44,1,0,900,510
S30,D71,3,0,900,511
S87,D13,3,0,900,512
S181,D55,2,0,900,513
S74,D43,2,0,900,514
S95,D60,2,0,900,515
S53,X9,3,0,900,516
S21,D7,1,0,900,517
S167,D36,2,0,900,518
S189,D8,1,0,900,519
S29,D4,2,0,900,520
S103,D64,2,0,900,521
S118,D59,1,0,900,522
S88,D13,2,0,900,523
S69,D46,3,0,900,524
S10,D76,1,0,900,525
S67,D50,3,0,900,526
S87,D36,3,0,900,527
S18,D76,2,0,900,528
S74,D6,3,0,900,529
S55,D23,3,0,900,530
S193,D64,2,0,900,531
S75,D49,2,0,900,532
S137,X19,1,0,900,533
S46,D20,2,0,900,534
S141,D78,3,0,900,535
S17,D59,3,0,900,536
S56,D17,1,0,900,537
S18,D18,3,0,900,538
S40,D11,1,0,900,539
S135,X9,2,0,900,540
S39,D56,2,0,900,541
S169,D64,1,0,900,542
S29,D28,2,0,900,543
S140,D26,1,0,900,544
S145,D7,1,0,900,545
S2,D30,2,0,900,546
S10,D48,1,0,900,547
S47,D52,3,0,900,548
S113,D28,2,0,900,549
S59,D34,3,0,900,550
S188,D73,1,0,900,551
S192,D8,1,0,900,552
S120,D50,2,0,900,553
S70,D59,2,0,900,554
S92,D62,2,0,900,555
S129,D13,1,0,900,556
S40,D33,3,0,900,557
S43,D76,2,0,900,558
S104,D25,2,0,900,559
S50,D36,2,0,900,560
S182,D47,1,0,900,561
S43,D9,3,0,900,562
S194,D27,3,0,900,563
S108,X3,1,0,900,564
S76,D46,1,0,900,565
S66,D39,1,0,900,566
S108,D7,1,0,900,567
S56,D21,2,0,900,568
S113,D31,1,0,900,569
S120,D20,1,0,900,570
S161,D37,1,0,900,571
S35,D34,1,0,900,572
S129,D36,1,0,900,573
S176,D69,2,0,900,574
S85,D68,1,0,900,575
S182,X7,1,0,900,576
S110,X14,3,0,900,577
S130,D7,3,0,900,578
S51,D31,2,0,900,579
S148,D22,3,0,900,580
S24,X12,3,0,900,581
S59,D33,1,0,900,582
S64,D49,2,0,900,583
S3,D37,2,0,900,584
S100,D35,2,0,900,585
S63,D18,2,0,900,586
S140,D73,1,0,900,587
S89,D48,1,0,900,588
S150,D5,2,0,900,589
S172,D53,1,0,900,590
S73,X4,2,0,900,591
S56,D45,3,0,900,592
S10,D11,2,0,900,593
S126,D17,2,0,900,594
S3,D62,2,0,900,595
S89,D18,1,0,900,596
S199,D75,2,0,900,597
S185,D10,2,0,900,598
S7,D38,1,0,900,599
S71,D59,2,0,900,600
S39,D18,1,0,900,601
S190,D26,2,0,900,602
S116,D54,1,0,900,603
S40,D72,3,0,900,604
S149,D64,3,0,900,605
S100,D51,2,0,900,606
S164,D12,3,0,900,607
S133,D58,2,0,900,608
S189,D20,1,0,900,609
S137,D25,3,0,900,610
S145,D25,3,0,900,611
S134,D11,1,0,900,612
S158,D29,3,0,900,613
S109,D63,2,0,900,614
S74,D8,1,0,900,615
S77,D16,3,0,900,616
S18,D15,3,0,900,617
S146,X11,1,0,900,618
S157,D15,3,0,900,619
S53,D73,1,0,900,620
S71,D31,1,0,900,621
S80,D70,3,0,900,622
S61,D70,1,0,900,623
S12,D4,2,0,900,624
S17,D29,3,0,900,625
S145,D5,3,0,900,626
S112,D47,1,0,900,627
S94,D29,1,0,900,628
S24,X4,2,0,900,629
S62,D39,1,0,900,630
S163,D66,3,0,900,631
S55,D42,2,0,900,632
S106,D22,1,0,900,633
S142,D26,2,0,900,634
S149,D29,3,0,900,635
S174,D49,2,0,900,636
S16,D19,2,0,900,637
S189,D0,2,0,900,638
S12,D79,1,0,900,639
S94,D63,1,0,900,640
S98,D70,3,0,900,641
S13,D17,2,0,900,642
S141,D55,1,0,900,643
S60,D0,3,0,900,644
S102,D40,3,0,900,645
S150,D9,3,0,900,646
S68,D2,3,0,900,647
S54,D75,1,0,900,648
S36,D24,2,0,900,649
S162,D57,3,0,900,650
S148,X4,3,0,900,651
S5,D73,2,0,900,652
S91,D29,1,0,900,653
S64,D3,1,0,900,654
S142,D66,2,0,900,655
S174,X11,1,0,900,656
S33,X12,3,0,900,657
S36,D48,1,0,900,658
S97,D9,3,0,900,659
S190,X11,1,0,900,660
S76,X1,1,0,900,661
S59,D46,1,0,900,662
S192,D72,3,0,900,663
S77,D24,2,0,900,664
S191,D25,3,0,900,665
S196,D57,1,0,900,666
S1,D21,2,0,900,667
S164,X9,1,0,900,668
S7,D56,3,0,900,669
S29,D26,1,0,900,670
S90,D26,3,0,900,671
S110,D14,3,0,900,672
S58,D58,3,0,900,673
S41,D13,2,0,900,674
S138,D23,2,0,900,675
S131,D26,2,0,900,676
S42,D71,2,0,900,677
S170,D15,3,0,900,678
S120,D42,1,0,900,679
S123,X7,1,0,900,680
S99,D16,3,0,900,681
S28,D78,2,0,900,682
S156,D7,2,0,900,683
S157,D10,2,0,900,684
S33,D7,2,0,900,685
S154,D74,2,0,900,686
S90,D15,3,0,900,687
S147,D64,1,0,900,688
S5,D26,1,0,900,689
S42,D57,2,0,900,690
S98,D76,2,0,900,691
S126,D35,2,0,900,692
S136,D2,1,0,900,693
S135,D30,1,0,900,694
S191,D19,2,0,900,695
S115,D79,2,0,900,696
S97,D0,3,0,900,697
S37,X7,3,0,900,698
S187,D69,3,0,900,699
S188,D10,2,0,900,700
S10,D4,2,0,900,701
S102,D73,1,0,900,702
S84,D53,2,0,900,703
S78,D16,1,0,900,704
S172,D38,3,0,900,705
S135,D9,1,0,900,706
S36,D33,2,0,900,707
S51,D6,2,0,900,708
S188,D45,3,0,900,709
S23,D2,1,0,900,710
S45,D3,3,0,900,711
S156,D14,2,0,900,712
