Comment,S100 D40 X12(4)_700
Site, X, Y, Vertex
S84,D11,1,0,900,315
S85,D34,3,0,900,316
S12,D22,2,0,900,317
S82,D33,1,0,900,318
S52,D22,3,0,900,319
S48,D22,2,0,900,320
S27,D20,3,0,900,321
S75,X0,1,0,900,322
S15,D36,2,0,900,323
S4,D34,1,0,900,324
S65,D14,3,0,900,325
S5,D1,1,0,900,326
S89,D15,1,0,900,327
S3,D4,3,0,900,328
S90,D8,3,0,900,329
S21,D32,3,0,900,330
S78,D4,3,0,900,331
S31,D24,3,0,900,332
S20,D15,1,0,900,333
S92,D34,1,0,900,334
S16,D25,3,0,900,335
S47,D23,2,0,900,336
S84,D2,3,0,900,337
S61,D12,3,0,900,338
S9,D8,1,0,900,339
S59,D22,2,0,900,340
S83,D5,2,0,900,341
S96,D25,1,0,900,342
S60,D7,1,0,900,343
S8,D29,2,0,900,344
S39,D33,1,0,900,345
S80,X3,3,0,900,346
S14,D27,2,0,900,347
S73,D5,2,0,900,348
S13,D20,2,0,900,349
S26,D21,3,0,900,350
S72,D28,1,0,900,351
S53,D6,1,0,900,352
S75,D11,3,0,900,353
S78,D20,3,0,900,354
S2,D5,1,0,900,355
S89,D21,3,0,900,356
S51,D37,3,0,900,357
S90,X5,3,0,900,358
S52,D36,3,0,900,359
S7,D26,1,0,900,360
S57,D16,3,0,900,361
S23,D4,2,0,900,362
S40,D4,3,0,900,363
S69,D5,3,0,900,364
S58,D31,2,0,900,365
S22,D18,1,0,900,366
S23,D39,3,0,900,367
S34,X4,1,0,900,368
S8,X3,2,0,900,369
S80,D38,3,0,900,370
S11,D19,2,0,900,371
S24,D7,3,0,900,372
S12,D18,3,0,900,373
S87,D30,1,0,900,374
S99,D19,3,0,900,375
S76,D11,2,0,900,376
S6,D30,3,0,900,377
S4,D22,1,0,900,378
S30,D16,2,0,900,379
S54,D12,3,0,900,380
S17,D14,1,0,900,381
S22,D1,3,0,900,382
S12,D16,3,0,900,383
S8,D38,3,0,900,384
S54,D30,2,0,900,385
S83,D9,3,0,900,386
S60,D39,1,0,900,387
S10,X4,3,0,900,388
S99,D31,1,0,900,389
S97,D28,2,0,900,390
S37,D9,1,0,900,391
S24,X0,3,0,900,392
S98,D3,2,0,900,393
S27,X5,3,0,900,394
S1,D17,1,0,900,395
S99,D8,1,0,900,396
S63,D22,1,0,900,397
S14,D13,2,0,900,398
S88,D27,1,0,900,399
S46,D33,3,0,900,400
S66,D0,3,0,900,401
S19,D39,1,0,900,402
S21,D19,3,0,900,403
S64,D24,1,0,900,404
S43,X3,3,0,900,405
S22,D8,2,0,900,406
S92,D25,2,0,900,407
S38,D4,2,0,900,408
S36,D35,1,0,900,409
S10,D34,3,0,900,410
S84,D9,3,0,900,411
S86,D23,2,0,900,412
S73,D2,1,0,900,413
S80,D36,3,0,900,414
S85,D10,1,0,900,415
S50,D31,1,0,900,416
S81,D2,1,0,900,417
S82,D4,3,0,900,418
S37,D21,1,0,900,419
S0,X0,3,0,900,420
S5,D39,3,0,900,421
S79,D30,1,0,900,422
S51,D25,3,0,900,423
S52,D32,3,0,900,424
S67,D18,3,0,900,425
S41,D38,3,0,900,426
S31,D28,1,0,900,427
S5,D13,1,0,900,428
S68,D11,1,0,900,429
S10,D25,1,0,900,430
S80,D34,3,0,900,431
S70,D27,1,0,900,432
S94,D28,1,0,900,433
S57,D18,3,0,900,434
S38,D12,3,0,900,435
S71,D14,3,0,900,436
S61,X3,3,0,900,437
S35,X4,3,0,900,438
S85,D27,1,0,900,439
S36,D6,1,0,900,440
S82,D12,2,0,900,441
S37,D38,1,0,900,442
S2,D3,2,0,900,443
S0,D5,3,0,900,444
S38,D0,1,0,900,445
S1,D20,1,0,900,446
S51,D34,1,0,900,447
S15,D24,1,0,900,448
S88,D1,1,0,900,449
S4,D15,1,0,900,450
S74,D28,3,0,900,451
S90,D3,2,0,900,452
S56,D37,2,0,900,453
S47,D6,3,0,900,454
S69,D15,3,0,900,455
S32,D29,1,0,900,456
S41,D24,1,0,900,457
S85,D24,3,0,900,458
S18,D0,3,0,900,459
S42,D13,2,0,900,460
S12,D24,3,0,900,461
S69,D23,1,0,900,462
S84,D29,1,0,900,463
S13,D33,3,0,900,464
S61,D29,3,0,900,465
S70,D31,1,0,900,466
S9,D7,1,0,900,467
S24,X4,2,0,900,468
S13,D19,2,0,900,469
S24,D9,1,0,900,470
S72,X4,3,0,900,471
S96,D8,1,0,900,472
S78,D23,2,0,900,473
S74,D38,1,0,900,474
S24,D4,1,0,900,475
S29,D0,3,0,900,476
S55,D3,2,0,900,477
S19,D17,3,0,900,478
S76,D1,2,0,900,479
S55,D35,2,0,900,480
S20,X4,3,0,900,481
S92,D28,2,0,900,482
S42,D20,2,0,900,483
S47,D16,2,0,900,484
S23,D12,3,0,900,485
S43,D5,2,0,900,486
S33,X5,3,0,900,487
S83,D38,1,0,900,488
S69,D22,3,0,900,489
S43,D25,1,0,900,490
S13,D31,2,0,900,491
S37,D16,3,0,900,492
S80,X0,3,0,900,493
S35,D27,2,0,900,494
S33,D5,3,0,900,495
S48,D13,1,0,900,496
S45,D16,3,0,900,497
S34,D26,2,0,900,498
S99,D32,3,0,900,499
S11,D14,1,0,900,500
S50,D33,3,0,900,501
S39,D5,3,0,900,502
S29,X5,3,0,900,503
S79,D38,2,0,900,504
S64,D22,2,0,900,505
S88,D15,3,0,900,506
S28,D20,2,0,900,507
S76,D22,3,0,900,508
S79,D19,2,0,900,509
S3,D31,2,0,900,510
S92,D3,1,0,900,511
S16,D26,3,0,900,512
S19,D35,1,0,900,513
S43,D34,2,0,900,514
S78,D24,1,0,900,515
S20,D10,3,0,900,516
S94,D35,1,0,900,517
S21,D9,3,0,900,518
S95,D26,2,0,900,519
S43,D17,2,0,900,520
S93,D26,1,0,900,521
S61,D36,2,0,900,522
S18,D37,2,0,900,523
S86,X5,3,0,900,524
S10,D10,3,0,900,525
S36,D27,2,0,900,526
S97,D36,2,0,900,527
S37,D8,3,0,900,528
S98,D37,3,0,900,529
S36,D29,3,0,900,530
S25,D26,2,0,900,531
S27,D10,1,0,900,532
S49,D29,2,0,900,533
S64,D23,3,0,900,534
S30,D15,2,0,900,535
S28,D19,2,0,900,536
S77,D20,2,0,900,537
S51,D16,1,0,900,538
S66,X5,2,0,900,539
S2,D24,3,0,900,540
S7,D3,2,0,900,541
S56,D36,2,0,900,542
S41,X4,1,0,900,543
S53,D25,3,0,900,544
S9,D31,2,0,900,545
S66,D5,2,0,900,546
S40,D32,2,0,900,547
S11,D24,1,0,900,548
S44,D28,3,0,900,549
S94,D17,2,0,900,550
S34,D6,3,0,900,551
S39,D16,3,0,900,552
S73,D4,3,0,900,553
S87,D4,2,0,900,554
S70,D36,2,0,900,555
S35,D38,1,0,900,556
S59,D8,3,0,900,557
S96,D38,1,0,900,558
S60,D15,1,0,900,559
S63,D30,3,0,900,560
S26,D14,1,0,900,561
S76,D37,1,0,900,562
S48,D27,2,0,900,563
S27,D7,1,0,900,564
S75,D19,2,0,900,565
S2,D27,2,0,900,566
S52,D11,3,0,900,567
S50,D29,2,0,900,568
S0,D16,2,0,900,569
S55,D28,2,0,900,570
S53,D34,2,0,900,571
S4,X5,3,0,900,572
S7,X0,2,0,900,573
S22,D12,3,0,900,574
S42,D19,2,0,900,575
S43,X0,2,0,900,576
S67,D23,1,0,900,577
S44,D3,2,0,900,578
S8,D0,3,0,900,579
S32,D35,1,0,900,580
S87,D32,2,0,900,581
S70,D17,1,0,900,582
S85,D14,1,0,900,583
S13,D9,1,0,900,584
S61,D35,1,0,900,585
S38,X5,3,0,900,586
S62,D21,1,0,900,587
S77,D32,2,0,900,588
S13,X4,1,0,900,589
S28,D7,3,0,900,590
S50,X0,1,0,900,591
S48,X3,3,0,900,592
S29,D17,3,0,900,593
S26,D13,2,0,900,594
S66,D11,2,0,900,595
S47,D13,3,0,900,596
S30,D33,3,0,900,597
S40,D28,2,0,900,598
S6,D6,1,0,900,599
S19,D10,1,0,900,600
S56,D23,1,0,900,601
S92,D26,2,0,900,602
S95,D11,2,0,900,603
S63,D37,1,0,900,604
S10,D1,2,0,900,605
S49,D2,3,0,900,606
S82,D22,1,0,900,607
S15,D0,2,0,900,608
S86,D8,2,0,900,609
S1,D6,3,0,900,610
S53,D21,1,0,900,611
S99,D28,3,0,900,612
S15,D12,3,0,900,613
S54,D19,2,0,900,614
S31,D15,2,0,900,615
S55,D30,1,0,900,616
S20,D32,3,0,900,617
S27,D25,3,0,900,618
S51,D12,2,0,900,619
S66,X3,1,0,900,620
S93,D22,1,0,900,621
S32,D13,3,0,900,622
S31,D33,3,0,900,623
S56,D6,2,0,900,624
S68,D18,3,0,900,625
S9,D13,2,0,900,626
S34,D33,1,0,900,627
S70,D28,1,0,900,628
S61,D13,2,0,900,629
S57,D11,3,0,900,630
S93,D31,3,0,900,631
S58,D18,2,0,900,632
S73,D32,3,0,900,633
S87,D14,3,0,900,634
S0,D21,1,0,900,635
S38,D39,2,0,900,636
S62,D30,3,0,900,637
S96,D17,2,0,900,638
S51,X4,2,0,900,639
S75,D37,1,0,900,640
S73,X0,2,0,900,641
S39,D18,1,0,900,642
S87,X0,1,0,900,643
S52,D6,1,0,900,644
S26,D35,3,0,900,645
S51,D9,2,0,900,646
S4,D10,3,0,900,647
S50,D28,2,0,900,648
S5,D9,1,0,900,649
S30,X5,3,0,900,650
S21,D12,1,0,900,651
S68,D15,2,0,900,652
S57,D12,3,0,900,653
S6,D2,3,0,900,654
S54,D37,2,0,900,655
S10,D13,1,0,900,656
S88,D2,2,0,900,657
S22,D11,2,0,900,658
S9,D26,1,0,900,659
S42,D2,3,0,900,660
S66,D16,2,0,900,661
S95,X4,3,0,900,662
S60,D29,1,0,900,663
S87,D33,2,0,900,664
S81,D38,1,0,900,665
S71,D31,2,0,900,666
S97,D0,3,0,900,667
S63,D10,3,0,900,668
S72,D17,2,0,900,669
S53,X3,1,0,900,670
S1,D10,1,0,900,671
S99,D10,1,0,900,672
S4,D35,3,0,900,673
S74,D22,2,0,900,674
S89,X3,2,0,900,675
S64,D18,3,0,900,676
S21,D4,3,0,900,677
S7,D8,3,0,900,678
S91,D6,3,0,900,679
S66,D34,1,0,900,680
S47,D17,2,0,900,681
S93,D0,3,0,900,682
S31,D16,2,0,900,683
S22,X3,3,0,900,684
S33,D22,2,0,900,685
S71,D39,2,0,900,686
S69,D3,1,0,900,687
S8,D6,2,0,900,688
S35,D18,1,0,900,689
S81,D22,2,0,900,690
S36,D11,1,0,900,691
S10,D0,1,0,900,692
S24,D39,3,0,900,693
S98,D14,3,0,900,694
S72,D11,2,0,900,695
S81,D24,1,0,900,696
S51,D29,1,0,900,697
S28,X5,1,0,900,698
S4,D6,1,0,900,699
Exit,
