qsd.s,qsd.d,qty,ect,ldt
215,267,3,0,914
128,271,2,249,1043
131,249,2,0,1080
151,236,3,0,1068
79,3,3,0,1074
58,12,1,0,1079
24,295,2,10,1054
105,276,3,0,940
144,296,1,0,994
127,223,3,6,926
150,229,2,0,736
64,291,3,0,856
207,261,1,0,668
54,229,2,0,736
77,261,2,0,668
159,11,1,311,1037
144,287,2,27,913
95,12,1,0,1079
142,288,3,0,1018
113,229,1,0,736
96,234,3,0,786
153,231,3,0,714
108,236,2,0,1068
72,264,1,0,870
62,260,1,60,744
84,283,1,0,716
206,271,2,249,1043
137,297,1,156,964
124,237,2,0,762
64,299,1,70,1056
106,251,3,103,1071
39,234,3,0,786
207,294,2,243,941
26,288,2,0,1018
211,225,3,17,1037
180,267,3,0,914
33,227,3,0,1212
95,289,3,68,1038
63,19,1,54,1038
130,279,2,0,814
184,240,1,75,1027
78,221,3,0,1079
189,237,1,0,762
123,230,2,30,1060
178,254,2,272,986
71,252,3,70,948
61,226,3,0,998
101,299,1,70,1056
121,250,1,0,890
197,242,2,10,1008
178,265,2,0,864
43,297,1,156,964
211,221,3,0,1079
181,255,2,0,886
162,283,1,0,716
166,293,2,0,944
77,12,3,0,1079
58,240,3,75,1027
24,264,1,0,870
36,283,1,0,716
74,240,3,75,1027
117,284,3,119,1001
98,265,3,0,864
138,238,1,0,1064
89,297,1,156,964
35,251,3,103,1071
161,238,3,0,1064
152,251,2,103,1071
68,255,2,0,886
175,239,3,326,1080
204,228,3,311,1035
133,1,3,55,871
47,279,1,0,814
40,270,3,185,937
159,262,2,239,1021
52,264,1,0,870
162,270,3,185,937
219,296,1,0,994
187,261,3,0,668
113,6,3,0,874
135,256,1,0,1022
153,274,3,0,804
210,271,1,249,1043
128,224,2,0,1080
62,242,3,10,1008
69,284,2,119,1001
188,289,3,68,1038
80,1,2,55,871
191,3,3,0,1074
213,287,2,27,913
198,245,3,216,960
77,254,3,272,986
60,225,3,17,1037
68,230,3,30,1060
49,292,1,56,868
199,234,2,0,786
130,3,2,0,1074
113,221,2,0,1079
21,243,3,174,1024
167,272,2,0,1078
170,258,2,0,1070
57,296,3,0,994
44,288,3,0,1018
193,224,2,0,1080
197,265,2,0,864
218,276,1,0,940
94,266,1,0,748
119,225,2,17,1037
48,235,3,0,1079
147,4,2,0,1080
169,243,2,174,1024
137,9,3,0,942
27,6,1,0,874
216,265,1,0,864
110,269,2,0,858
142,281,1,167,1073
204,272,2,0,1078
101,252,1,70,948
161,255,2,0,886
83,279,1,0,814
48,9,2,0,942
159,14,1,96,1002
204,231,1,0,714
172,247,3,0,712
29,254,1,272,986
108,1,3,55,871
111,263,2,177,865
173,232,3,16,804
87,271,1,249,1043
28,232,3,16,804
22,295,1,10,1054
67,266,3,0,748
108,242,2,10,1008
203,285,2,0,808
104,260,2,60,744
33,264,3,0,870
183,244,3,0,1012
191,274,3,0,804
155,297,2,156,964
187,272,2,0,1078
115,231,3,0,714
167,265,1,0,864
106,257,3,40,920
54,292,1,56,868
148,256,1,0,1022
168,238,2,0,1064
43,266,1,0,748
82,275,2,0,888
143,297,3,156,964
137,287,1,27,913
83,224,1,0,1080
159,244,1,0,1012
92,237,3,0,762
164,277,3,0,982
96,252,1,70,948
42,278,1,127,1023
135,251,1,103,1071
43,4,2,0,1080
171,230,2,30,1060
139,273,2,30,806
186,289,3,68,1038
208,3,2,0,1074
59,259,2,86,990
192,247,3,0,712
132,286,3,0,722
103,246,3,0,742
86,285,1,0,808
50,239,1,326,1080
75,256,3,0,1022
62,288,1,0,1018
155,225,1,17,1037
194,273,1,30,806
124,269,3,0,858
144,278,1,127,1023
42,240,1,75,1027
153,220,1,9,831
47,245,2,216,960
35,293,3,0,944
62,290,1,86,1072
44,281,1,167,1073
212,262,3,239,1021
87,239,3,326,1080
51,3,1,0,1074
107,250,3,0,890
179,261,1,0,668
77,285,2,0,808
116,292,3,56,868
119,293,3,0,944
70,278,2,127,1023
92,260,1,60,744
117,298,2,374,962
64,295,2,10,1054
120,277,1,0,982
88,242,3,10,1008
89,220,3,9,831
74,252,2,70,948
44,230,3,30,1060
176,224,3,0,1080
147,257,2,40,920
112,280,1,0,800
181,292,2,56,868
184,267,3,0,914
120,299,3,70,1056
125,287,2,27,913
185,277,2,0,982
207,273,2,30,806
190,232,2,16,804
111,225,3,17,1037
51,12,3,0,1079
181,287,1,27,913
115,294,3,243,941
73,281,2,167,1073
170,9,2,0,942
174,268,3,54,1040
157,250,3,0,890
68,222,2,205,1049
71,290,3,86,1072
182,228,1,311,1035
99,248,1,0,1048
193,272,2,0,1078
146,298,1,374,962
104,234,2,0,786
205,11,2,311,1037
41,14,1,96,1002
169,3,1,0,1074
185,293,2,0,944
189,288,2,0,1018
142,225,3,17,1037
145,275,3,0,888
165,244,2,0,1012
93,286,3,0,722
57,223,1,6,926
190,299,3,70,1056
72,299,3,70,1056
148,248,1,0,1048
203,291,3,0,856
23,233,2,0,802
201,262,2,239,1021
41,273,3,30,806
31,272,1,0,1078
130,294,1,243,941
142,9,1,0,942
32,276,3,0,940
214,3,3,0,1074
89,291,1,0,856
145,270,2,185,937
35,260,2,60,744
61,220,3,9,831
44,246,3,0,742
190,241,1,0,876
101,234,2,0,786
139,291,3,0,856
178,257,3,40,920
203,271,3,249,1043
102,267,1,0,914
169,240,3,75,1027
85,241,3,0,876
31,7,1,0,1079
185,240,1,75,1027
150,12,3,0,1079
206,280,3,0,800
123,271,3,249,1043
217,260,1,60,744
93,264,3,0,870
158,258,3,0,1070
215,246,1,0,742
161,239,1,326,1080
146,261,2,0,668
75,259,1,86,990
173,237,2,0,762
159,274,3,0,804
51,298,1,374,962
112,298,1,374,962
187,288,1,0,1018
177,252,3,70,948
144,293,2,0,944
185,287,2,27,913
170,245,1,216,960
207,278,1,127,1023
69,221,2,0,1079
143,237,1,0,762
133,282,1,0,772
151,1,2,55,871
27,298,2,374,962
196,274,1,0,804
175,275,1,0,888
32,296,1,0,994
182,297,3,156,964
190,262,2,239,1021
69,280,3,0,800
198,295,3,10,1054
218,288,3,0,1018
48,222,3,205,1049
109,248,1,0,1048
34,295,2,10,1054
127,253,3,0,804
147,286,3,0,722
66,279,2,0,814
36,237,1,0,762
93,242,2,10,1008
81,269,1,0,858
46,231,3,0,714
29,273,2,30,806
175,280,2,0,800
182,257,1,40,920
96,293,1,0,944
79,251,3,103,1071
172,287,2,27,913
101,294,1,243,941
129,223,1,6,926
191,272,1,0,1078
70,259,3,86,990
127,231,3,0,714
90,267,3,0,914
174,248,1,0,1048
195,232,3,16,804
88,236,2,0,1068
36,19,2,54,1038
217,255,3,0,886
202,290,3,86,1072
42,286,3,0,722
103,9,1,0,942
195,283,3,0,716
114,241,2,0,876
168,259,3,86,990
62,253,3,0,804
65,244,1,0,1012
139,247,2,0,712
50,268,2,54,1040
198,265,1,0,864
179,245,3,216,960
116,251,3,103,1071
191,7,1,0,1079
27,14,2,96,1002
192,281,3,167,1073
196,235,3,0,1079
39,4,3,0,1080
138,224,3,0,1080
203,251,2,103,1071
104,221,3,0,1079
122,242,3,10,1008
33,269,1,0,858
179,282,2,0,772
116,235,3,0,1079
45,266,3,0,748
98,285,2,0,808
192,234,2,0,786
66,7,2,0,1079
131,233,3,0,802
207,265,2,0,864
173,220,3,9,831
65,19,1,54,1038
143,269,2,0,858
111,268,1,54,1040
169,285,2,0,808
120,274,1,0,804
196,277,3,0,982
123,224,3,0,1080
99,239,1,326,1080
200,222,1,205,1049
168,244,3,0,1012
87,264,1,0,870
50,291,3,0,856
107,233,3,0,802
201,275,2,0,888
94,263,2,177,865
115,280,2,0,800
73,9,3,0,942
41,227,1,0,1212
187,256,2,0,1022
209,228,1,311,1035
49,224,2,0,1080
123,284,2,119,1001
138,279,1,0,814
108,233,2,0,802
89,266,3,0,748
30,296,1,0,994
87,270,3,185,937
107,256,3,0,1022
38,296,2,0,994
94,226,3,0,998
75,243,3,174,1024
213,284,2,119,1001
95,269,2,0,858
157,19,1,54,1038
66,240,2,75,1027
161,298,3,374,962
37,279,3,0,814
76,237,1,0,762
38,238,3,0,1064
60,231,1,0,714
155,9,2,0,942
59,276,2,0,940
189,284,1,119,1001
49,248,2,0,1048
160,246,1,0,742
165,227,1,0,1212
22,250,2,0,890
30,268,1,54,1040
67,272,3,0,1078
133,248,2,0,1048
79,254,3,272,986
208,293,1,0,944
212,228,1,311,1035
140,270,2,185,937
90,279,2,0,814
112,282,2,0,772
149,233,1,0,802
60,253,3,0,804
63,296,2,0,994
124,245,2,216,960
70,256,2,0,1022
202,267,1,0,914
63,229,3,0,736
214,247,3,0,712
128,3,1,0,1074
96,266,1,0,748
86,259,1,86,990
128,227,1,0,1212
76,241,2,0,876
133,251,1,103,1071
140,240,1,75,1027
181,257,1,40,920
55,254,1,272,986
149,256,1,0,1022
196,289,2,68,1038
105,288,1,0,1018
202,7,1,0,1079
130,14,3,96,1002
150,227,3,0,1212
71,251,2,103,1071
168,242,3,10,1008
44,12,3,0,1079
79,253,1,0,804
84,269,2,0,858
23,257,2,40,920
120,255,2,0,886
83,238,2,0,1064
160,293,1,0,944
109,268,1,54,1040
170,225,2,17,1037
192,273,1,30,806
93,4,2,0,1080
76,265,3,0,864
30,231,2,0,714
146,237,2,0,762
23,282,2,0,772
109,238,1,0,1064
219,295,2,10,1054
205,230,2,30,1060
27,258,1,0,1070
91,279,2,0,814
59,238,1,0,1064
210,246,2,0,742
136,274,1,0,804
60,292,3,56,868
169,284,3,119,1001
120,271,2,249,1043
184,232,3,16,804
153,278,2,127,1023
209,240,1,75,1027
157,245,3,216,960
165,245,3,216,960
154,231,1,0,714
178,249,3,0,1080
129,283,2,0,716
94,228,1,311,1035
97,236,3,0,1068
38,235,3,0,1079
166,11,1,311,1037
177,235,3,0,1079
73,293,1,0,944
91,251,1,103,1071
100,290,3,86,1072
81,290,1,86,1072
32,224,2,0,1080
37,249,3,0,1080
165,225,3,17,1037
132,267,1,0,914
114,249,1,0,1080
44,4,2,0,1080
82,259,1,86,990
183,286,3,0,722
75,262,2,239,1021
126,242,1,10,1008
162,246,2,0,742
169,249,3,0,1080
194,269,2,0,858
36,239,2,326,1080
209,220,2,9,831
32,299,1,70,1056
114,283,1,0,716
118,290,3,86,1072
33,237,2,0,762
161,275,1,0,888
80,220,3,9,831
122,260,3,60,744
170,229,3,0,736
88,222,3,205,1049
74,295,1,10,1054
56,244,2,0,1012
182,277,3,0,982
168,4,3,0,1080
25,293,2,0,944
111,249,1,0,1080
84,223,1,6,926
162,286,2,0,722
194,11,1,311,1037
53,12,3,0,1079
56,268,1,54,1040
117,229,3,0,736
210,11,1,311,1037
96,1,1,55,871
79,266,1,0,748
212,292,3,56,868
97,244,2,0,1012
211,245,3,216,960
216,277,1,0,982
21,241,2,0,876
184,9,1,0,942
27,276,3,0,940
49,246,1,0,742
110,246,3,0,742
130,234,3,0,786
78,278,3,127,1023
61,233,2,0,802
158,243,2,174,1024
151,246,2,0,742
62,291,2,0,856
190,235,3,0,1079
140,262,1,239,1021
143,7,1,0,1079
119,236,3,0,1068
48,298,2,374,962
176,227,2,0,1212
177,230,2,30,1060
53,227,2,0,1212
174,294,2,243,941
110,235,3,0,1079
167,284,1,119,1001
25,246,1,0,742
62,277,2,0,982
118,296,2,0,994
146,255,2,0,886
156,222,1,205,1049
155,250,1,0,890
211,239,2,326,1080
135,299,2,70,1056
117,220,3,9,831
57,7,3,0,1079
207,289,3,68,1038
208,230,2,30,1060
30,224,2,0,1080
122,293,1,0,944
104,273,2,30,806
98,236,1,0,1068
192,258,3,0,1070
155,229,1,0,736
56,253,2,0,804
71,226,2,0,998
208,265,3,0,864
43,222,1,205,1049
65,223,3,6,926
176,234,2,0,786
180,284,2,119,1001
146,229,2,0,736
188,272,3,0,1078
116,290,2,86,1072
152,264,3,0,870
213,12,2,0,1079
144,238,2,0,1064
92,294,3,243,941
73,237,3,0,762
78,220,3,9,831
192,244,2,0,1012
124,227,2,0,1212
196,233,3,0,802
217,297,1,156,964
164,231,1,0,714
172,285,3,0,808
171,253,3,0,804
187,253,3,0,804
80,14,1,96,1002
68,294,2,243,941
61,260,1,60,744
44,229,1,0,736
193,268,2,54,1040
51,257,3,40,920
83,277,2,0,982
211,11,1,311,1037
34,285,2,0,808
109,227,3,0,1212
206,259,3,86,990
42,231,3,0,714
35,282,3,0,772
39,12,2,0,1079
135,298,1,374,962
189,291,2,0,856
76,278,2,127,1023
84,278,1,127,1023
65,235,2,0,1079
176,251,1,103,1071
179,6,3,0,874
38,292,1,56,868
156,12,3,0,1079
85,281,3,167,1073
155,290,3,86,1072
31,273,1,30,806
202,268,1,54,1040
59,224,3,0,1080
63,265,1,0,864
142,4,1,0,1080
123,12,3,0,1079
200,9,1,0,942
218,226,3,0,998
152,239,2,326,1080
105,279,2,0,814
177,269,1,0,858
91,241,1,0,876
202,263,2,177,865
149,293,2,0,944
120,284,1,119,1001
214,282,2,0,772
195,222,3,205,1049
67,234,1,0,786
33,249,1,0,1080
201,273,2,30,806
152,248,3,0,1048
110,249,2,0,1080
113,7,1,0,1079
185,226,3,0,998
32,228,3,311,1035
199,271,3,249,1043
182,248,3,0,1048
210,3,1,0,1074
158,298,3,374,962
69,9,2,0,942
45,255,2,0,886
156,232,3,16,804
211,248,2,0,1048
115,260,2,60,744
91,228,1,311,1035
59,263,2,177,865
153,241,1,0,876
192,221,1,0,1079
68,269,3,0,858
106,6,3,0,874
185,278,3,127,1023
61,1,2,55,871
190,269,2,0,858
146,224,2,0,1080
23,247,3,0,712
43,264,3,0,870
84,261,2,0,668
166,220,3,9,831
205,226,3,0,998
59,267,3,0,914
134,228,1,311,1035
28,6,3,0,874
141,234,2,0,786
160,227,3,0,1212
53,294,3,243,941
91,260,1,60,744
184,230,2,30,1060
206,299,3,70,1056
117,245,3,216,960
64,3,1,0,1074
93,261,1,0,668
39,253,3,0,804
171,266,1,0,748
158,260,2,60,744
178,253,3,0,804
55,253,2,0,804
109,269,2,0,858
174,270,1,185,937
31,278,1,127,1023
36,296,1,0,994
74,271,1,249,1043
113,284,1,119,1001
57,221,2,0,1079
96,241,3,0,876
138,1,3,55,871
158,250,2,0,890
86,287,2,27,913
146,283,2,0,716
208,222,3,205,1049
126,271,1,249,1043
34,281,1,167,1073
73,233,1,0,802
105,283,2,0,716
167,252,1,70,948
39,226,1,0,998
172,227,3,0,1212
210,244,1,0,1012
121,275,1,0,888
139,242,3,10,1008
198,226,1,0,998
97,254,3,272,986
45,238,3,0,1064
206,242,3,10,1008
49,233,3,0,802
88,286,1,0,722
163,278,2,127,1023
167,245,3,216,960
150,264,2,0,870
135,282,2,0,772
86,263,2,177,865
195,7,1,0,1079
54,222,2,205,1049
37,289,3,68,1038
203,234,2,0,786
118,272,2,0,1078
140,14,2,96,1002
197,231,2,0,714
107,236,3,0,1068
45,296,2,0,994
191,283,3,0,716
119,294,2,243,941
187,14,3,96,1002
49,256,1,0,1022
92,281,1,167,1073
163,272,1,0,1078
56,220,2,9,831
202,252,1,70,948
29,260,2,60,744
214,262,3,239,1021
125,285,3,0,808
200,282,2,0,772
37,269,1,0,858
131,19,3,54,1038
25,242,2,10,1008
171,7,3,0,1079
139,263,2,177,865
20,235,3,0,1079
111,240,1,75,1027
151,229,3,0,736
208,290,1,86,1072
119,4,1,0,1080
162,260,3,60,744
95,294,1,243,941
134,297,2,156,964
192,257,3,40,920
194,267,3,0,914
113,274,3,0,804
78,256,1,0,1022
32,245,2,216,960
178,252,3,70,948
37,258,1,0,1070
190,4,2,0,1080
158,233,2,0,802
180,279,3,0,814
112,257,3,40,920
205,262,1,239,1021
70,236,3,0,1068
127,280,2,0,800
184,285,3,0,808
24,274,2,0,804
187,250,3,0,890
174,298,3,374,962
178,221,1,0,1079
114,263,1,177,865
151,275,3,0,888
154,252,1,70,948
121,281,2,167,1073
126,248,1,0,1048
179,238,2,0,1064
183,272,3,0,1078
75,11,2,311,1037
188,270,1,185,937
137,281,2,167,1073
34,247,1,0,712
90,281,2,167,1073
219,294,3,243,941
77,1,3,55,871
95,276,3,0,940
209,224,1,0,1080
217,227,1,0,1212
110,266,1,0,748
81,271,1,249,1043
138,9,2,0,942
86,297,2,156,964
182,220,3,9,831
131,247,3,0,712
151,233,3,0,802
171,296,2,0,994
154,223,2,6,926
87,277,1,0,982
188,275,1,0,888
137,227,2,0,1212
164,270,2,185,937
73,225,3,17,1037
63,243,3,174,1024
66,264,3,0,870
22,272,3,0,1078
99,296,2,0,994
89,273,1,30,806
183,271,1,249,1043
69,295,3,10,1054
55,224,2,0,1080
166,286,2,0,722
116,248,3,0,1048
80,276,3,0,940
102,274,3,0,804
34,250,3,0,890
206,273,2,30,806
98,290,1,86,1072
157,228,1,311,1035
125,220,2,9,831
57,230,3,30,1060
175,19,2,54,1038
72,255,1,0,886
111,264,2,0,870
131,280,2,0,800
207,220,1,9,831
179,298,3,374,962
94,268,2,54,1040
115,275,3,0,888
152,299,2,70,1056
117,6,3,0,874
209,239,1,326,1080
64,243,2,174,1024
175,228,1,311,1035
143,220,2,9,831
111,261,2,0,668
84,247,1,0,712
212,19,1,54,1038
141,237,3,0,762
21,262,1,239,1021
150,287,3,27,913
100,284,3,119,1001
125,281,2,167,1073
22,283,1,0,716
25,221,3,0,1079
200,262,1,239,1021
35,1,3,55,871
148,236,1,0,1068
156,242,1,10,1008
193,287,3,27,913
176,222,1,205,1049
104,238,3,0,1064
87,238,3,0,1064
201,270,1,185,937
83,280,3,0,800
31,6,3,0,874
196,11,3,311,1037
216,235,2,0,1079
174,231,2,0,714
157,273,3,30,806
145,279,1,0,814
93,223,2,6,926
172,223,3,6,926
148,224,1,0,1080
75,277,1,0,982
133,236,2,0,1068
186,274,2,0,804
173,280,3,0,800
193,265,1,0,864
176,4,2,0,1080
51,246,3,0,742
38,252,1,70,948
28,294,3,243,941
137,244,2,0,1012
160,268,1,54,1040
214,275,1,0,888
128,247,1,0,712
172,225,1,17,1037
67,284,2,119,1001
148,221,1,0,1079
40,274,1,0,804
133,235,3,0,1079
173,285,3,0,808
80,239,2,326,1080
53,273,2,30,806
59,3,2,0,1074
81,222,3,205,1049
71,248,3,0,1048
76,281,3,167,1073
99,19,2,54,1038
218,258,1,0,1070
75,14,1,96,1002
97,279,1,0,814
48,292,1,56,868
176,290,2,86,1072
134,294,2,243,941
28,276,2,0,940
160,257,3,40,920
199,230,3,30,1060
182,247,2,0,712
36,267,2,0,914
204,4,1,0,1080
171,261,3,0,668
215,230,1,30,1060
161,258,1,0,1070
72,254,1,272,986
146,285,3,0,808
136,19,2,54,1038
45,243,1,174,1024
141,287,2,27,913
52,241,3,0,876
219,257,2,40,920
112,224,1,0,1080
85,282,1,0,772
199,241,3,0,876
56,283,3,0,716
175,293,3,0,944
55,249,1,0,1080
43,11,3,311,1037
166,232,1,16,804
77,239,2,326,1080
59,11,3,311,1037
105,233,2,0,802
88,259,1,86,990
199,263,2,177,865
92,295,3,10,1054
56,284,3,119,1001
202,276,3,0,940
210,243,1,174,1024
145,283,3,0,716
204,290,2,86,1072
61,240,1,75,1027
82,288,2,0,1018
161,233,3,0,802
183,221,1,0,1079
186,277,1,0,982
49,7,2,0,1079
88,19,3,54,1038
73,243,2,174,1024
130,239,2,326,1080
117,258,3,0,1070
106,259,3,86,990
57,273,2,30,806
40,291,3,0,856
114,277,3,0,982
61,289,2,68,1038
82,9,1,0,942
65,299,2,70,1056
161,256,1,0,1022
70,274,3,0,804
137,262,1,239,1021
196,259,3,86,990
99,249,1,0,1080
45,250,1,0,890
52,229,3,0,736
198,256,1,0,1022
147,14,1,96,1002
98,297,2,156,964
78,12,1,0,1079
125,224,2,0,1080
195,258,3,0,1070
182,291,2,0,856
25,243,1,174,1024
173,281,2,167,1073
82,251,1,103,1071
140,6,3,0,874
30,279,3,0,814
121,268,1,54,1040
50,255,1,0,886
198,291,1,0,856
183,254,3,272,986
43,295,3,10,1054
219,12,2,0,1079
60,236,1,0,1068
134,277,3,0,982
98,254,2,272,986
53,234,1,0,786
42,237,1,0,762
138,261,3,0,668
86,234,3,0,786
195,299,2,70,1056
71,265,3,0,864
79,286,2,0,722
118,280,1,0,800
26,293,2,0,944
212,269,2,0,858
90,283,1,0,716
216,284,2,119,1001
91,293,2,0,944
147,250,1,0,890
134,239,3,326,1080
24,225,2,17,1037
170,220,2,9,831
209,14,1,96,1002
46,263,2,177,865
97,287,2,27,913
79,294,3,243,941
136,253,1,0,804
216,278,3,127,1023
41,246,1,0,742
115,289,2,68,1038
163,221,3,0,1079
132,228,1,311,1035
103,233,3,0,802
50,254,1,272,986
154,228,3,311,1035
51,242,3,10,1008
188,292,1,56,868
213,238,2,0,1064
122,241,1,0,876
164,269,2,0,858
38,293,3,0,944
72,257,3,40,920
183,291,3,0,856
151,259,2,86,990
173,275,3,0,888
30,236,2,0,1068
143,264,1,0,870
60,226,1,0,998
186,231,3,0,714
177,267,3,0,914
70,297,1,156,964
181,252,3,70,948
91,270,2,185,937
124,229,2,0,736
210,259,1,86,990
103,258,1,0,1070
148,270,1,185,937
203,262,3,239,1021
82,7,2,0,1079
51,11,2,311,1037
188,248,3,0,1048
116,247,1,0,712
31,262,3,239,1021
149,287,1,27,913
41,226,2,0,998
42,299,1,70,1056
65,221,2,0,1079
162,291,2,0,856
147,227,1,0,1212
58,7,2,0,1079
102,261,1,0,668
83,283,2,0,716
127,252,3,70,948
91,283,1,0,716
63,230,2,30,1060
46,266,2,0,748
193,254,2,272,986
86,228,1,311,1035
107,240,1,75,1027
129,1,2,55,871
20,265,3,0,864
133,223,1,6,926
70,232,3,16,804
198,288,1,0,1018
55,258,3,0,1070
112,269,3,0,858
169,282,2,0,772
83,246,3,0,742
95,238,3,0,1064
63,281,2,167,1073
174,230,1,30,1060
68,266,3,0,748
123,256,3,0,1022
71,221,3,0,1079
132,264,1,0,870
67,297,3,156,964
128,240,2,75,1027
40,223,3,6,926
30,244,1,0,1012
33,255,1,0,886
94,230,2,30,1060
95,268,2,54,1040
213,285,3,0,808
124,263,3,177,865
177,246,3,0,742
164,259,2,86,990
81,266,1,0,748
195,14,1,96,1002
160,292,2,56,868
39,264,2,0,870
25,276,3,0,940
99,290,3,86,1072
154,295,2,10,1054
172,19,3,54,1038
121,222,3,205,1049
141,231,3,0,714
38,228,2,311,1035
116,258,1,0,1070
63,292,3,56,868
177,250,1,0,890
34,237,1,0,762
185,268,3,54,1040
117,272,1,0,1078
68,280,1,0,800
123,267,2,0,914
217,225,1,17,1037
35,246,2,0,742
44,3,3,0,1074
118,276,1,0,940
197,282,3,0,772
54,226,3,0,998
186,261,2,0,668
201,288,1,0,1018
194,263,2,177,865
105,245,2,216,960
53,221,2,0,1079
110,255,2,0,886
189,294,1,243,941
101,284,3,119,1001
129,258,1,0,1070
40,238,1,0,1064
186,221,2,0,1079
26,251,1,103,1071
24,296,3,0,994
92,244,1,0,1012
210,226,2,0,998
145,280,3,0,800
200,253,1,0,804
132,295,3,10,1054
69,236,1,0,1068
143,6,1,0,874
20,280,1,0,800
94,262,2,239,1021
129,263,3,177,865
203,229,2,0,736
23,279,3,0,814
102,295,1,10,1054
212,257,3,40,920
166,257,3,40,920
58,289,3,68,1038
145,227,1,0,1212
21,253,2,0,804
135,226,3,0,998
106,225,2,17,1037
171,274,2,0,804
179,232,1,16,804
129,233,2,0,802
23,294,2,243,941
26,286,2,0,722
173,252,1,70,948
212,231,2,0,714
122,236,2,0,1068
73,258,2,0,1070
60,279,1,0,814
24,246,3,0,742
194,227,2,0,1212
167,225,2,17,1037
150,254,2,272,986
100,251,1,103,1071
29,285,1,0,808
54,251,3,103,1071
35,19,2,54,1038
39,243,1,174,1024
140,285,3,0,808
180,235,1,0,1079
186,233,1,0,802
119,223,2,6,926
191,299,3,70,1056
34,287,3,27,913
27,223,1,6,926
93,268,2,54,1040
78,274,1,0,804
100,235,1,0,1079
142,234,2,0,786
65,264,2,0,870
215,244,3,0,1012
33,6,3,0,874
72,19,2,54,1038
166,292,2,56,868
144,261,2,0,668
109,288,1,0,1018
24,272,2,0,1078
170,243,3,174,1024
191,265,2,0,864
130,254,3,272,986
81,284,1,119,1001
157,271,1,249,1043
175,270,3,185,937
62,232,2,16,804
65,277,2,0,982
139,272,1,0,1078
158,263,3,177,865
20,222,2,205,1049
97,247,3,0,712
176,289,2,68,1038
155,255,1,0,886
199,266,3,0,748
21,268,2,54,1040
150,221,2,0,1079
131,241,1,0,876
96,289,1,68,1038
97,1,3,55,871
79,222,3,205,1049
82,297,3,156,964
97,275,1,0,888
45,286,2,0,722
77,11,3,311,1037
27,235,3,0,1079
