qsd.s,qsd.d,qty,ect,ldt
104,115,1,4,940
28,138,3,11,655
31,147,1,0,1002
55,146,2,1,925
90,136,1,0,862
32,122,3,117,975
106,147,1,0,1002
33,121,3,57,867
107,138,2,11,655
55,129,2,0,718
105,138,1,11,655
73,148,2,0,910
30,149,2,0,968
98,5,3,222,1030
22,122,3,117,975
48,139,2,80,642
109,148,2,0,910
49,120,3,228,1032
110,149,3,0,968
48,141,3,178,984
37,138,2,11,655
39,122,1,117,975
61,141,2,178,984
76,135,3,226,1054
42,127,2,0,852
40,131,2,0,1020
89,132,2,86,1016
63,128,1,46,884
78,5,2,222,1030
14,136,3,0,862
19,115,2,4,940
68,148,2,0,910
53,4,1,314,1078
65,137,3,318,1014
21,143,2,12,768
78,117,2,0,974
52,144,2,0,864
23,136,1,0,862
56,140,3,0,910
106,129,2,0,718
46,118,3,223,1021
51,128,3,46,884
85,116,3,0,846
99,116,2,0,846
82,148,2,0,910
47,150,1,0,836
71,120,3,228,1032
108,150,1,0,836
72,127,1,0,852
75,142,3,0,940
38,126,1,0,810
88,149,1,0,968
60,139,2,80,642
39,119,1,197,997
87,131,2,0,1020
14,139,2,80,642
64,123,3,0,690
62,141,2,178,984
12,128,2,46,884
67,140,2,0,910
65,146,2,1,925
16,5,3,222,1030
19,0,2,69,653
34,124,3,19,987
54,131,2,0,1020
55,0,2,69,653
79,135,1,226,1054
56,115,2,4,940
20,112,3,0,812
44,147,1,0,1002
99,144,2,0,864
82,129,1,0,718
97,126,1,0,810
25,121,1,57,867
73,147,1,0,1002
50,5,3,222,1030
74,133,1,0,720
89,144,2,0,864
25,4,1,314,1078
40,119,3,197,997
62,0,1,69,653
60,3,3,0,856
41,129,3,0,718
38,125,2,0,832
78,123,2,0,690
59,125,3,0,832
42,145,3,0,748
52,140,2,0,910
18,118,1,223,1021
31,122,1,117,975
68,135,1,226,1054
104,138,2,11,655
107,123,2,0,690
75,149,1,0,968
22,113,2,0,960
61,114,3,0,728
94,134,1,175,1053
27,112,2,0,812
98,120,2,228,1032
13,118,3,223,1021
65,133,1,0,720
111,140,3,0,910
27,124,3,19,987
66,131,2,0,1020
43,127,2,0,852
67,142,1,0,940
32,144,3,0,864
39,137,3,318,1014
63,124,2,19,987
78,3,1,0,856
105,134,1,175,1053
44,125,3,0,832
43,145,3,0,748
68,118,2,223,1021
80,130,3,113,899
21,125,2,0,832
46,145,1,0,748
82,140,1,0,910
73,125,2,0,832
69,123,3,0,690
105,143,3,12,768
70,130,2,113,899
85,144,3,0,864
99,126,3,0,810
12,133,1,0,720
50,151,2,0,900
74,142,3,0,940
108,129,2,0,718
63,4,2,314,1078
87,149,1,0,968
85,0,2,69,653
51,130,1,113,899
99,0,1,69,653
64,118,1,223,1021
38,147,3,0,1002
63,121,2,57,867
16,122,3,117,975
62,140,2,0,910
17,121,1,57,867
42,5,3,222,1030
33,124,1,19,987
80,127,2,0,852
69,124,3,19,987
18,114,3,0,728
66,149,2,0,968
22,125,1,0,832
100,114,2,0,728
34,123,2,0,690
21,138,1,11,655
54,114,3,0,728
78,128,2,46,884
107,4,3,314,1078
72,141,1,178,984
99,145,2,0,748
93,150,1,0,836
83,143,2,12,768
109,112,3,0,812
75,122,3,117,975
84,129,2,0,718
65,3,1,0,856
13,122,1,117,975
111,122,1,117,975
16,147,3,0,1002
86,134,2,175,1053
101,3,2,0,856
76,130,3,113,899
33,116,3,0,846
19,120,3,228,1032
103,118,3,223,1021
78,146,1,1,925
59,129,2,0,718
105,112,3,0,812
43,128,2,46,884
34,3,3,0,856
45,134,2,175,1053
83,151,2,0,900
81,115,1,4,940
20,118,2,223,1021
47,130,1,113,899
93,134,2,175,1053
48,123,1,0,690
22,112,1,0,812
36,151,3,0,900
110,126,3,0,810
84,123,2,0,690
93,136,1,0,862
63,141,1,178,984
40,5,1,222,1030
16,118,1,223,1021
